step	city_sequence	city_x	city_y	fitness
0	1	-86.3006	32.3777	271.974
1	24	-90.1821	32.3038	
2	18	-91.1874	30.4571	
3	43	-97.7403	30.2747	
4	36	-97.5033	35.4922	
5	31	-105.94	35.6822	
6	3	-112.097	33.4481	
7	28	-119.766	39.1639	
8	5	-121.494	38.5767	
9	11	-157.857	21.3074	
10	2	-134.42	58.3016	
11	47	-122.905	47.0358	
12	37	-123.03	44.9385	
13	12	-116.2	43.6178	
14	26	-112.018	46.5857	
15	44	-111.888	40.7775	
16	6	-104.985	39.7392	
17	50	-104.82	41.1403	
18	41	-100.346	44.367	
19	33	-100.783	46.8209	
20	23	-93.1022	44.9551	
21	15	-93.6037	41.5911	
22	27	-96.6997	40.8081	
23	16	-95.678	39.0482	
24	4	-92.289	34.7466	
25	25	-92.1729	38.5792	
26	13	-89.655	39.7984	
27	49	-89.3844	43.0747	
28	22	-84.5553	42.7336	
29	14	-86.1626	39.7686	
30	42	-86.7842	36.1658	
31	17	-84.8754	38.1867	
32	35	-82.9991	39.9613	
33	48	-81.6123	38.3362	
34	38	-76.8836	40.2644	
35	34	-73.7579	42.6528	
36	45	-72.5805	44.2624	
37	19	-69.7817	44.3072	
38	29	-71.538	43.2069	
39	21	-71.0637	42.3582	
40	39	-71.415	41.8309	
41	7	-72.6822	41.764	
42	30	-74.7699	40.2206	
43	8	-75.5197	39.1573	
44	20	-76.4909	38.9788	
45	46	-77.4336	37.5389	
46	32	-78.6391	35.7804	
47	40	-81.0332	34.0003	
48	10	-84.3882	33.749	
49	9	-84.2813	30.4381	
50	1	-86.3006	32.3777	
